Placeholder,CMD,Contract,Date,Metric,Level,Change
1,lu,2609,8/19/2026,Volume,10894,-14141
1,lu,2610,8/19/2026,Volume,263749,84219
1,lu,2611,8/19/2026,Volume,82826,35575
1,fu,2609,8/19/2026,Volume,667540,-39734
1,fu,2610,8/19/2026,Volume,152242,19388
1,fu,2611,8/19/2026,Volume,648382,59622
1,fu,2701,8/19/2026,Volume,98627,11892
1,bu,2609,8/19/2026,Volume,174882,-16359
1,bu,2610,8/19/2026,Volume,363783,-20445
1,bu,2611,8/19/2026,Volume,47959,-8982
1,bu,2612,8/19/2026,Volume,48449,-24226
1,br,2609,8/19/2026,Volume,80783,-53892
1,br,2610,8/19/2026,Volume,321515,18841
1,ru,2609,8/19/2026,Volume,62954,12422
1,ru,2701,8/19/2026,Volume,337381,52656
1,ru,2705,8/19/2026,Volume,9110,1981
1,nr,2609,8/19/2026,Volume,4637,-265
1,nr,2610,8/19/2026,Volume,104074,23270
1,nr,2611,8/19/2026,Volume,52942,13351
1,nr,2612,8/19/2026,Volume,19359,3472
1,nr,2701,8/19/2026,Volume,8322,3003
1,sp,2609,8/19/2026,Volume,71308,1999
1,sp,2611,8/19/2026,Volume,492484,140069
1,sp,2701,8/19/2026,Volume,66724,28694
1,op,2609,8/19/2026,Volume,3586,1438
1,op,2610,8/19/2026,Volume,10516,1540
1,cu,2609,8/19/2026,Long Position,117139,-7939
1,cu,2610,8/19/2026,Long Position,115589,-2234
1,cu,2611,8/19/2026,Long Position,42692,3420
1,cu,2612,8/19/2026,Long Position,44081,353
1,cu,2701,8/19/2026,Long Position,22756,-377
1,cu,2703,8/19/2026,Long Position,14926,117
1,bc,2609,8/19/2026,Long Position,11949,-197
1,al,2609,8/19/2026,Long Position,104002,-16292
1,al,2610,8/19/2026,Long Position,190252,4841
1,al,2611,8/19/2026,Long Position,64826,5543
1,al,2612,8/19/2026,Long Position,45869,1908
1,al,2701,8/19/2026,Long Position,29863,1530
1,zn,2609,8/19/2026,Long Position,43881,-10709
1,zn,2610,8/19/2026,Long Position,105654,-8932
1,zn,2611,8/19/2026,Long Position,31930,3679
1,pb,2609,8/19/2026,Long Position,21996,-2791
1,pb,2610,8/19/2026,Long Position,61401,-1649
1,ni,2609,8/19/2026,Long Position,71288,-1799
1,ni,2610,8/19/2026,Long Position,87093,483
1,ni,2611,8/19/2026,Long Position,43682,2186
1,ni,2612,8/19/2026,Long Position,22059,679
1,sn,2609,8/19/2026,Long Position,21769,-2899
