"SHFE Member/OSP Volume, Open Interest Rankings",,,,,,,,,,,
,,,,,,,,,,,
Date: 2026-08-21,,,,,,,,,,,
"Note: FF Member/OSBP may not engage in trading of its own futures, the above volume and positions ranking data of FF Member/OSBP Clearing Members refers to he participation of all clients who are engaging in brokerage business during the statistical period. FF Member/OSBP engaging in brokerage business shall accept entrustment by its clients to conduct futures trading in its own name on behalf of the client.",,,,,,,,,,,
Member/OSP Type,Total Volume,Change from Previous Trading Day,Member/OSP Type,Total Long Position,Change from Previous Trading Day,Member/OSP Type,Total Short Position,Change from Previous Trading Day,,,
Contract Code：cuall,,,,,,,2026-08-21,,,,
Name of FF Member/OSBP,336368,36254,Name of FF Member/OSBP,539420,-2971,Name of FF Member/OSBP,530553,-3111,,,
Name of Non-FF Member/OSNBP,2668,-566,Name of Non-FF Member/OSNBP,2224,75,Name of Non-FF Member/OSNBP,11091,215,,,
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
16,0271(brokerage business),1615,422,16,0049(brokerage business),604,-10,16,0082(brokerage business),526,205
17,0186(brokerage business),1495,-470,17,0007(brokerage business),573,29,17,0298(brokerage business),482,85
18,0082(brokerage business),1378,378,18,0333(brokerage business),506,-4,18,0178(brokerage business),481,18
19,0096(brokerage business),1283,45,19,0042(brokerage business),486,211,19,0019(brokerage business),480,162
20,0161(brokerage business),1206,490,20,0275(brokerage business),486,88,20,0153(brokerage business),434,25
Total,,89344,-398,Total,,26137,3335,Total,,25360,3466
Ranking,Name of FF Member /OSBPs,Volume,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Long Position,Change from Previous Trading Day,Ranking,Name of FF Member /OSBPs,Short Position,Change from Previous Trading Day
Contract Code：sn2611,,,,,,,,,,2026-08-21,
1,0148(brokerage business),3822,-1620,1,0004(brokerage business),2132,155,1,0272(brokerage business),1722,71
2,0004(brokerage business),2916,-725,2,0148(brokerage business),1617,7,2,0148(brokerage business),1531,197
3,0275(brokerage business),2901,-469,3,0163(brokerage business),1157,325,3,0323(brokerage business),1360,14
4,0253(brokerage business),1610,-122,4,0268(brokerage business),956,-1,4,0004(brokerage business),1273,193
5,0163(brokerage business),1048,41,5,0049(brokerage business),618,135,5,0042(brokerage business),887,56
6,0123(brokerage business),698,-306,6,0096(brokerage business),600,-22,6,0007(brokerage business),842,13
7,0059(brokerage business),684,-119,7,0052(brokerage business),543,3,7,0163(brokerage business),673,29
8,0096(brokerage business),604,-172,8,0009(brokerage business),429,21,8,0077(brokerage business),478,88
9,0272(brokerage business),558,-339,9,0103(brokerage business),407,6,9,0096(brokerage business),448,78
10,0240(brokerage business),554,-280,10,0272(brokerage business),401,71,10,0153(brokerage business),273,33
11,0308(brokerage business),546,-58,11,0240(brokerage business),333,42,11,0003(brokerage business),180,21
